elapsed_time_s,pulse_height_V
0.091,0.231734
0.091,0.415307
0.091,0.275792
0.091,0.400621
0.298,0.437336
0.298,0.165648
0.298,0.400621
0.298,0.176663
0.503,0.187677
0.503,0.154634
0.503,0.411636
0.503,0.202363
0.761,0.150962
0.761,0.455693
0.761,0.165648
0.761,0.224392
0.761,0.294149
0.761,0.191348
0.761,0.481393
0.761,0.195020
1.021,0.228063
1.021,0.305163
1.021,0.598880
1.021,0.338207
1.021,0.154634
1.277,0.319849
1.277,0.158305
1.277,0.150962
1.277,0.150962
1.277,0.459364
1.482,0.150962
1.482,0.195020
1.482,0.290478
1.482,0.198691
1.482,0.191348
1.705,0.448350
1.705,0.356564
1.705,0.150962
1.705,0.154634
1.705,0.598880
1.705,0.213377
1.981,0.198691
1.981,0.257435
1.981,0.161977
1.981,0.327192
1.981,0.198691
2.186,0.191348
2.186,0.437336
2.186,0.209706
2.186,0.150962
2.435,0.499750
2.435,0.363907
2.435,0.301492
2.435,0.158305
2.435,0.231734
2.648,0.279463
2.648,0.169320
2.648,0.176663
2.648,0.250092
2.869,0.158305
2.869,0.169320
2.869,0.382264
2.869,0.404293
2.869,0.202363
2.869,0.198691
3.147,0.499750
3.147,0.169320
3.147,0.209706
3.147,0.161977
3.147,0.158305
3.147,0.466707
3.351,0.426321
3.351,0.422650
3.351,0.180334
3.351,0.268449
3.598,0.158305
3.598,0.195020
3.598,0.184006
3.598,0.400621
3.598,0.455693
3.805,0.239077
3.805,0.290478
3.805,0.609894
3.805,0.172991
3.805,0.220720
3.805,0.466707
4.025,0.279463
4.025,0.452021
4.025,0.356564
4.025,0.150962
4.025,0.191348
4.302,0.301492
4.302,0.150962
4.302,0.286806
4.302,0.272120
4.302,0.257435
4.302,0.217049
4.302,0.165648
4.504,0.426321
4.504,0.382264
4.504,0.150962
4.757,0.150962
4.757,0.323521
4.757,0.202363
4.757,0.334535
4.757,1.281769
4.757,0.209706
4.757,0.400621
4.963,0.217049
4.963,0.452021
4.963,0.228063
5.186,0.154634
5.186,0.154634
5.186,0.228063
5.186,0.319849
5.186,0.150962
5.465,0.176663
5.465,0.161977
5.465,0.180334
5.465,0.209706
5.465,0.349221
5.670,0.253763
5.670,0.316178
5.670,0.286806
5.670,0.694337
5.927,0.385935
5.927,0.441007
5.927,0.150962
5.927,0.158305
5.927,0.231734
5.927,0.411636
6.132,0.418978
6.132,0.228063
6.132,0.231734
6.132,0.202363
6.409,0.459364
6.409,0.257435
6.409,0.191348
6.409,0.246420
6.409,0.198691
6.409,0.231734
