elapsed_time_s,pulse_height_V
0.100,0.150962
0.100,0.418978
0.387,0.477722
0.387,0.264777
0.387,0.150962
0.387,0.150962
0.387,0.246420
0.387,0.378592
0.388,0.150962
0.388,0.250092
0.645,0.154634
0.645,0.253763
0.645,0.316178
0.645,0.169320
0.645,0.150962
0.645,0.224392
0.645,0.150962
0.889,0.150962
0.889,0.150962
0.889,0.407964
0.889,0.213377
0.889,0.198691
1.095,0.429993
1.095,0.404293
1.095,0.485065
1.095,0.209706
1.095,0.191348
1.343,0.172991
1.343,0.459364
1.343,0.202363
1.343,0.257435
1.618,0.286806
1.618,0.297821
1.618,0.297821
1.618,0.239077
1.869,0.485065
1.869,0.352892
1.869,0.474050
1.869,0.154634
1.869,0.272120
1.869,0.228063
2.102,0.452021
2.102,0.411636
2.102,0.286806
2.102,0.437336
2.102,0.389607
2.102,0.334535
2.324,0.382264
2.324,0.158305
2.324,0.426321
2.610,0.150962
2.610,0.165648
2.610,0.180334
2.610,0.150962
2.846,0.385935
2.846,0.246420
2.846,0.158305
2.846,0.393278
3.093,0.150962
3.093,0.323521
3.093,0.150962
3.093,0.209706
3.093,0.312506
3.327,0.220720
3.327,0.198691
3.327,0.224392
3.327,1.285441
3.327,0.213377
3.327,0.352892
3.578,0.158305
3.578,0.624580
3.578,0.198691
3.578,0.161977
3.863,0.176663
3.863,0.191348
3.863,0.158305
3.863,0.407964
3.863,0.161977
3.863,0.158305
3.863,0.257435
4.097,0.312506
4.097,0.477722
4.097,0.154634
4.097,0.448350
4.097,0.411636
4.345,0.477722
4.345,0.206034
4.345,0.459364
4.345,0.191348
4.345,0.411636
4.586,0.224392
4.586,0.195020
4.586,0.426321
4.586,0.154634
4.586,0.319849
4.586,1.252398
4.837,0.521779
4.837,0.319849
4.837,0.261106
4.837,0.161977
4.837,0.158305
5.133,0.154634
5.133,0.250092
5.133,0.209706
5.133,0.195020
5.133,0.217049
5.390,0.154634
5.390,0.367578
5.390,0.150962
5.390,0.158305
5.390,0.657623
5.390,0.264777
5.390,0.161977
5.390,0.180334
5.632,0.172991
5.632,0.176663
5.632,0.481393
5.632,0.150962
5.847,0.228063
5.847,0.587865
5.847,0.191348
5.847,0.195020
5.847,0.224392
6.143,0.180334
6.143,0.209706
6.143,0.161977
6.143,0.158305
6.143,0.250092
6.143,0.404293
6.348,0.195020
6.348,0.341878
6.348,0.176663
6.348,0.150962
6.348,0.587865
6.348,0.154634
6.603,0.400621
6.603,0.213377
6.603,0.301492
6.603,0.231734
6.603,0.426321
6.834,0.444679
6.834,0.261106
6.834,0.301492
6.834,0.191348
7.041,0.158305
7.041,0.169320
7.041,0.374921
7.041,0.308835
7.336,0.338207
7.336,0.290478
7.336,0.407964
7.336,0.437336
7.336,0.279463
7.547,0.154634
7.547,0.150962
7.547,0.169320
7.547,0.316178
7.547,0.389607
7.547,0.301492
7.547,0.198691
7.801,0.187677
7.801,0.165648
7.801,0.220720
7.801,0.474050
7.801,0.150962
7.801,0.172991
8.032,0.150962
8.032,0.150962
8.032,0.360235
8.032,0.463036
8.032,0.407964
8.239,0.507093
8.239,0.165648
8.239,0.202363
8.537,0.415307
8.537,0.371250
8.537,0.620908
8.537,0.360235
8.537,0.466707
8.537,0.165648
8.746,0.150962
8.746,0.150962
8.746,0.393278
8.746,0.360235
8.998,0.169320
8.998,0.158305
8.998,0.150962
8.998,0.154634
8.998,0.360235
8.998,0.184006
8.998,0.466707
9.228,0.496079
9.228,0.180334
9.228,0.448350
9.228,0.158305
9.228,0.279463
9.505,0.228063
9.505,0.415307
9.505,0.349221
9.505,0.198691
9.505,0.191348
9.505,0.576851
9.756,0.470379
9.756,0.459364
9.756,0.264777
9.756,0.176663
9.756,1.351527
9.756,0.150962
9.964,0.463036
9.964,0.228063
9.964,0.330864
9.964,0.228063
10.216,0.150962
10.216,0.198691
10.216,0.150962
10.216,0.393278
10.216,0.294149
10.216,0.312506
10.456,0.198691
10.456,0.150962
10.456,0.158305
10.456,0.176663
10.456,0.250092
10.456,0.150962
10.456,0.246420
10.767,0.213377
10.767,0.415307
10.767,0.184006
10.767,0.198691
10.767,0.180334
10.767,0.411636
10.767,0.448350
11.011,0.154634
11.011,0.158305
11.011,0.154634
11.011,0.191348
11.011,0.184006
11.011,0.150962
11.224,0.150962
11.224,0.209706
11.224,0.176663
11.224,0.158305
11.224,0.150962
11.485,0.239077
11.485,0.191348
11.485,0.455693
11.485,0.356564
11.485,0.150962
11.771,0.415307
11.771,0.158305
11.771,0.444679
11.772,0.378592
11.772,0.169320
11.772,0.239077
12.032,0.161977
12.032,0.154634
12.032,0.165648
12.032,0.411636
12.032,0.411636
12.032,0.441007
12.269,0.206034
12.269,0.286806
12.269,0.176663
12.269,0.169320
12.269,0.492407
12.494,0.250092
12.494,0.150962
12.494,0.426321
12.494,0.389607
12.734,0.415307
12.734,0.543808
12.734,0.169320
12.734,0.338207
12.734,0.172991
13.032,0.441007
13.032,0.154634
13.032,0.180334
13.032,0.404293
13.277,0.481393
13.277,0.261106
13.277,0.235406
13.277,0.154634
13.277,0.202363
13.510,0.382264
13.510,0.165648
13.510,0.150962
13.510,0.202363
13.510,0.488736
13.510,0.154634
13.772,0.448350
13.772,0.393278
13.772,0.345549
13.772,0.407964
13.772,0.180334
13.772,0.161977
13.772,0.253763
14.017,0.187677
14.017,0.389607
14.017,0.246420
14.017,0.150962
14.017,0.158305
14.311,0.154634
14.311,0.407964
14.311,0.150962
14.311,0.176663
14.311,0.184006
14.311,0.195020
14.555,0.158305
14.555,0.172991
14.555,0.165648
14.555,0.268449
14.555,0.268449
14.776,0.389607
14.776,0.463036
14.776,0.275792
14.776,0.485065
15.025,0.158305
15.025,0.165648
15.025,0.448350
15.025,0.272120
15.025,0.257435
15.306,0.261106
15.306,0.301492
15.306,0.411636
15.306,0.169320
15.306,0.312506
15.548,0.617237
15.548,0.191348
15.548,0.150962
15.548,0.161977
15.548,0.169320
15.548,0.150962
15.794,0.470379
15.794,0.294149
15.794,0.264777
15.794,0.176663
15.794,0.400621
16.042,0.191348
16.042,0.150962
16.042,0.150962
16.042,0.323521
16.042,0.242749
16.291,0.158305
16.291,0.477722
16.291,0.154634
16.291,0.154634
16.291,0.220720
16.291,0.426321
16.291,0.477722
16.583,0.202363
16.583,0.444679
16.583,0.239077
16.583,0.220720
16.583,0.209706
16.838,0.264777
16.838,0.396950
16.838,0.521779
16.838,0.209706
16.838,0.492407
17.087,0.275792
17.087,0.496079
17.087,0.261106
17.087,0.150962
17.087,0.169320
17.087,0.444679
17.087,0.437336
17.298,0.316178
17.298,0.418978
17.298,0.154634
17.298,0.294149
17.602,0.426321
17.602,0.481393
17.602,0.418978
17.602,0.382264
17.845,0.224392
17.845,0.426321
17.845,0.404293
17.845,0.481393
17.845,0.195020
17.845,0.150962
18.090,0.176663
18.090,0.158305
18.090,0.466707
18.090,0.382264
18.090,0.213377
18.090,0.349221
18.090,0.154634
18.337,0.459364
18.337,0.404293
18.337,0.426321
18.337,0.150962
18.337,0.176663
18.337,0.308835
18.582,0.161977
18.582,0.459364
18.582,0.158305
18.582,0.411636
18.582,0.187677
18.582,0.228063
18.889,0.330864
18.889,0.154634
18.889,0.220720
18.889,0.150962
18.889,0.231734
18.889,0.415307
18.889,0.191348
19.134,0.360235
19.134,0.224392
19.134,0.158305
19.134,0.202363
19.134,0.356564
19.134,0.158305
19.134,0.198691
19.384,0.404293
19.384,0.411636
19.384,0.474050
19.384,0.565836
19.384,0.239077
19.625,0.154634
19.625,0.158305
19.625,0.191348
19.625,0.209706
19.625,0.180334
19.625,0.202363
19.911,0.459364
19.911,0.426321
19.911,0.202363
19.911,0.202363
19.911,0.411636
20.160,0.154634
20.160,0.452021
20.160,0.389607
20.160,0.154634
20.160,0.349221
20.160,0.187677
20.407,0.466707
20.407,0.158305
20.407,0.349221
20.407,0.595208
20.407,0.180334
20.408,0.184006
20.408,0.488736
20.632,0.217049
20.632,0.371250
20.632,0.154634
20.632,0.150962
20.881,0.411636
20.881,0.180334
20.881,0.389607
20.881,0.367578
20.881,0.191348
20.882,0.404293
20.882,0.150962
20.882,0.206034
21.168,0.154634
21.168,0.154634
21.168,0.198691
21.168,0.169320
21.168,0.334535
21.168,0.294149
21.168,0.202363
21.415,0.176663
21.415,0.154634
21.415,0.150962
21.415,0.253763
21.415,0.279463
21.666,0.448350
21.666,0.161977
21.666,0.367578
21.666,0.463036
21.666,0.312506
21.913,0.319849
21.913,0.411636
21.913,0.389607
21.913,0.176663
21.913,0.349221
21.913,0.150962
21.913,0.496079
22.161,0.382264
22.161,0.474050
22.161,0.312506
22.161,0.158305
22.161,0.202363
22.161,0.338207
