elapsed_time_s,pulse_height_V
0.090,0.297821
0.293,0.217049
0.293,0.786124
0.293,0.536465
0.293,0.161977
0.293,2.280404
0.501,0.580522
0.501,0.470379
0.501,0.206034
0.501,0.246420
0.740,0.433664
0.740,1.722344
0.740,0.609894
0.740,0.191348
0.740,1.670943
0.740,0.393278
0.987,0.176663
0.987,0.172991
0.987,0.250092
0.987,0.191348
0.988,0.161977
1.195,0.620908
1.195,0.231734
1.431,0.723709
1.431,1.637900
1.431,0.360235
1.431,0.283135
1.431,0.551151
1.431,0.187677
1.431,0.268449
1.431,0.624580
1.634,0.727380
1.634,0.404293
1.634,0.452021
1.634,0.224392
1.634,0.224392
1.634,0.507093
1.875,0.463036
1.875,0.569508
1.875,0.727380
1.875,0.209706
2.122,0.228063
2.122,0.217049
2.122,2.170261
2.122,0.209706
2.122,0.426321
2.122,0.195020
2.334,0.514436
2.334,0.485065
2.334,0.628251
2.334,0.264777
2.566,0.316178
2.566,0.264777
2.566,0.253763
2.566,0.290478
2.566,0.709023
2.566,0.235406
2.771,0.257435
2.771,0.239077
2.771,0.624580
2.771,0.176663
2.771,0.418978
3.055,0.995396
3.055,0.202363
3.055,0.415307
3.055,0.290478
3.055,0.198691
3.258,0.429993
3.258,0.415307
3.258,0.330864
3.258,2.089489
3.258,0.180334
3.258,0.261106
3.258,0.888924
3.258,0.338207
3.473,1.285441
3.473,0.459364
3.473,0.371250
3.473,0.253763
3.708,0.165648
3.708,0.246420
3.708,0.184006
3.708,0.184006
3.708,0.154634
3.708,0.345549
3.919,0.206034
3.919,0.492407
3.919,0.617237
3.919,1.726015
3.919,0.422650
4.206,0.808152
4.206,0.319849
4.206,0.154634
4.206,1.039454
4.206,0.319849
4.206,0.521779
4.206,0.360235
4.417,1.013754
4.417,0.224392
4.417,0.239077
4.417,0.202363
4.417,0.349221
4.629,0.172991
4.629,0.653951
4.629,0.415307
4.629,0.341878
4.629,0.338207
4.857,0.863224
4.857,0.617237
4.857,0.239077
4.857,0.664966
4.857,0.176663
5.059,1.535100
5.059,0.187677
5.059,0.154634
5.059,1.891230
5.059,1.248726
5.059,0.334535
5.059,0.246420
5.353,0.161977
5.353,0.312506
5.353,0.246420
5.353,0.426321
5.353,0.404293
5.353,0.385935
5.353,1.927945
5.566,1.105540
5.566,0.580522
5.566,0.653951
5.566,0.477722
5.783,1.865530
5.783,1.380899
5.783,0.176663
5.783,0.510765
5.783,0.477722
5.783,0.272120
6.012,0.301492
6.012,0.529122
6.012,0.650280
6.012,0.198691
6.012,0.532793
6.012,0.257435
6.215,1.039454
6.215,0.209706
6.215,0.870567
6.215,0.213377
6.502,0.217049
6.502,0.195020
6.502,1.256069
6.502,0.195020
6.502,0.169320
6.700,1.608529
6.700,0.385935
6.700,0.474050
6.700,0.385935
6.700,0.297821
6.700,1.256069
6.922,0.334535
6.922,0.257435
6.922,0.404293
6.922,0.283135
6.922,0.374921
6.922,0.305163
7.154,0.319849
7.154,0.433664
7.154,0.422650
7.154,0.389607
7.154,0.213377
7.402,0.228063
7.402,0.338207
7.402,0.444679
7.652,0.187677
7.652,0.231734
7.652,0.360235
7.652,0.224392
7.652,0.187677
7.652,0.161977
7.652,0.510765
7.652,0.206034
7.856,0.683323
7.856,0.360235
7.856,0.264777
7.856,0.224392
7.856,1.817801
8.064,0.161977
8.064,0.712695
8.064,0.150962
8.064,0.239077
8.291,0.180334
8.291,0.158305
8.291,1.076168
8.291,1.402927
8.291,0.338207
8.542,0.642937
8.542,0.209706
8.542,0.316178
8.542,0.235406
8.780,0.209706
8.780,1.469014
8.780,0.202363
8.780,0.301492
8.780,0.510765
8.780,0.261106
8.985,0.180334
8.985,0.367578
8.985,1.443313
8.985,0.338207
8.985,0.547479
9.200,0.191348
9.200,0.239077
9.200,0.198691
9.200,0.165648
9.434,0.418978
9.434,0.268449
9.434,0.477722
9.434,0.187677
9.434,0.521779
9.434,0.180334
9.434,0.297821
9.683,0.499750
9.683,0.576851
9.683,1.050468
9.683,0.184006
9.683,0.407964
9.683,1.483699
9.922,0.389607
9.922,0.448350
9.922,2.016060
9.922,0.657623
10.124,0.411636
10.124,0.228063
10.124,0.272120
10.124,0.161977
10.335,0.360235
10.335,0.367578
10.335,1.505728
10.335,0.330864
10.335,0.411636
10.568,0.286806
10.568,0.286806
10.568,1.487371
10.568,0.294149
10.568,0.360235
10.828,0.334535
10.828,0.499750
10.828,1.002739
10.828,0.176663
10.828,0.286806
11.071,1.208340
11.071,1.902245
11.071,0.441007
11.071,0.161977
11.071,0.613565
11.273,0.257435
11.273,0.294149
11.273,0.426321
11.514,0.367578
11.514,0.349221
11.514,1.575486
11.514,0.536465
11.800,0.206034
11.800,0.202363
11.800,0.301492
11.800,1.197326
11.800,0.466707
11.800,0.169320
11.800,0.819167
11.800,0.187677
11.800,1.116554
12.039,0.253763
12.039,0.463036
12.039,0.272120
12.039,0.150962
12.039,0.165648
12.039,0.378592
12.039,0.283135
12.277,0.330864
12.277,0.209706
12.277,0.275792
12.277,0.400621
12.277,0.426321
12.486,0.507093
12.486,0.525451
12.486,0.452021
12.735,0.206034
12.735,0.418978
12.735,0.374921
12.735,0.239077
12.735,0.764095
12.735,0.896267
12.735,0.305163
12.735,0.532793
12.735,0.308835
13.019,0.455693
13.019,0.808152
13.019,0.503422
13.019,0.195020
13.019,0.330864
13.019,1.142254
13.255,0.169320
13.255,0.172991
13.255,0.709023
13.255,0.235406
13.255,0.356564
13.493,1.630557
13.493,0.804481
13.493,0.323521
13.493,0.683323
13.493,0.631923
13.699,0.338207
13.699,0.404293
13.699,1.582828
13.699,0.345549
13.699,0.187677
13.934,0.477722
13.934,0.297821
13.934,1.189983
13.934,0.191348
13.934,0.433664
13.934,0.455693
13.934,0.455693
13.934,0.305163
13.934,0.165648
14.221,0.815495
14.221,0.290478
14.221,0.184006
14.221,0.418978
14.221,2.184947
14.467,0.407964
14.467,0.943996
14.467,0.815495
14.467,0.257435
14.467,0.231734
14.467,0.418978
14.467,0.319849
14.715,0.202363
14.715,0.150962
14.715,1.663600
14.715,0.341878
14.715,0.433664
14.715,0.514436
14.715,0.540136
14.919,0.209706
14.919,1.311141
14.919,0.286806
14.919,1.685629
14.919,0.760423
14.919,0.650280
15.154,0.246420
15.154,0.217049
15.154,0.272120
15.154,0.246420
15.154,0.562165
15.438,0.202363
15.438,0.521779
15.438,0.341878
15.438,0.286806
15.438,0.158305
15.438,0.327192
15.676,0.172991
15.676,0.275792
15.676,0.165648
15.676,0.257435
15.913,0.191348
15.913,0.272120
15.913,0.308835
15.913,0.286806
15.913,0.246420
16.126,0.378592
16.126,0.411636
16.126,0.268449
16.126,0.228063
16.126,0.264777
16.126,0.620908
16.126,0.191348
16.126,0.367578
16.416,0.220720
16.416,1.369884
16.416,0.184006
16.416,0.562165
16.416,0.356564
16.416,1.054140
16.416,0.150962
16.652,0.316178
16.652,0.437336
16.652,0.261106
16.652,0.308835
16.652,0.470379
16.652,0.246420
16.890,0.378592
16.890,0.161977
16.890,0.217049
16.890,0.250092
16.890,0.455693
17.128,0.191348
17.128,0.764095
17.128,1.975674
17.128,0.341878
17.128,0.275792
17.339,0.620908
17.339,0.246420
17.339,0.176663
17.339,0.631923
17.339,0.253763
17.339,2.254704
17.339,0.352892
17.339,0.161977
17.624,0.385935
17.624,0.316178
17.624,0.327192
17.624,0.499750
17.624,1.637900
17.624,0.529122
17.855,0.587865
17.855,1.872873
17.855,2.243690
17.855,0.209706
17.855,0.418978
17.855,0.330864
18.089,0.301492
18.089,0.294149
18.089,0.286806
18.089,0.198691
18.089,0.815495
18.089,0.312506
18.327,0.525451
18.327,0.356564
18.327,0.301492
18.327,0.198691
18.327,1.469014
18.327,0.466707
18.327,0.470379
18.532,0.969696
18.532,0.661294
18.532,0.198691
18.532,0.150962
18.532,0.253763
18.532,0.407964
18.814,0.349221
18.814,0.503422
18.814,0.150962
18.814,0.250092
18.814,0.778781
18.814,0.760423
19.052,0.180334
19.052,0.187677
19.052,0.334535
19.052,0.250092
19.052,0.184006
19.052,1.432299
19.286,0.202363
19.286,1.252398
19.286,0.272120
19.286,0.514436
19.286,0.253763
19.286,0.275792
19.525,0.283135
19.525,0.198691
19.525,0.242749
19.525,0.154634
