elapsed_time_s,pulse_height_V
0.093,0.305163
0.093,0.184006
0.093,0.301492
0.369,0.290478
0.369,0.297821
0.369,1.549785
0.369,0.191348
0.369,0.286806
0.369,0.184006
0.593,0.290478
0.593,1.553457
0.593,0.407964
0.593,0.176663
0.593,0.279463
0.829,0.206034
0.829,0.228063
0.829,1.351527
0.829,0.400621
0.829,0.180334
0.829,1.597514
1.056,0.235406
1.056,0.452021
1.056,0.191348
1.056,0.584194
1.056,0.172991
1.313,0.224392
1.313,0.268449
1.313,0.345549
1.313,0.224392
1.313,1.997702
1.313,1.267084
1.600,0.191348
1.600,0.150962
1.600,0.264777
1.600,0.257435
1.600,0.507093
1.600,0.841195
1.851,1.212012
1.851,0.485065
1.851,0.635594
1.851,0.396950
1.851,0.198691
2.068,0.217049
2.068,0.433664
2.068,0.242749
2.068,0.576851
2.320,0.301492
2.320,0.319849
2.320,0.250092
2.320,0.202363
2.320,0.910953
2.320,2.276733
2.592,0.253763
2.592,0.198691
2.592,0.481393
2.592,0.294149
2.592,0.184006
2.592,0.187677
2.592,0.195020
2.824,0.180334
2.824,0.308835
2.824,0.327192
2.824,0.822838
2.824,0.213377
2.824,0.485065
3.074,0.389607
3.074,0.800809
3.074,0.914624
3.074,0.213377
3.074,0.213377
3.074,0.172991
3.074,0.352892
3.074,0.514436
3.275,0.338207
3.275,0.286806
3.275,0.822838
3.275,0.217049
3.275,0.308835
3.275,0.573179
3.530,0.492407
3.530,1.821473
3.530,0.253763
3.530,0.239077
3.530,0.195020
3.530,0.184006
3.809,0.187677
3.809,0.187677
3.809,0.507093
3.809,0.161977
3.809,0.202363
4.046,0.551151
4.046,0.360235
4.046,0.154634
4.046,1.542443
4.297,0.441007
4.297,0.316178
4.297,0.272120
4.297,0.253763
4.499,0.172991
4.499,0.496079
4.499,0.371250
4.499,0.257435
4.794,0.172991
4.794,0.477722
4.794,0.804481
4.794,0.352892
4.794,0.268449
4.794,0.235406
4.794,0.261106
5.025,0.184006
5.025,0.235406
5.025,0.352892
5.025,2.287747
5.259,0.297821
5.259,2.008717
5.259,1.230369
5.510,0.297821
5.510,0.319849
5.510,0.393278
5.510,0.477722
5.510,0.176663
5.510,0.257435
5.510,0.257435
5.708,0.360235
5.708,0.642937
5.708,0.441007
5.708,1.234041
5.997,0.499750
5.997,0.631923
5.997,0.679651
5.997,0.198691
5.997,0.180334
5.997,0.253763
5.997,0.492407
6.222,0.385935
6.222,0.176663
6.222,0.239077
6.222,1.208340
6.222,0.217049
6.454,0.158305
6.454,0.426321
6.454,1.105540
6.454,1.994031
6.454,0.158305
6.703,0.499750
6.703,0.165648
6.703,0.165648
6.703,0.206034
6.703,0.206034
6.703,0.195020
6.703,0.198691
6.703,0.198691
6.903,2.269390
6.903,0.470379
6.903,0.327192
6.903,1.865530
7.221,0.242749
7.221,0.819167
7.221,1.156940
7.221,0.202363
7.221,0.547479
7.221,0.231734
7.221,0.308835
7.221,0.220720
7.221,0.316178
7.418,0.242749
7.418,0.250092
7.418,0.305163
7.667,1.101868
7.667,1.164283
7.667,0.158305
7.667,0.305163
7.667,1.068825
7.667,0.341878
7.894,0.308835
7.894,0.231734
7.894,0.176663
7.894,0.268449
7.894,0.231734
8.161,0.349221
8.161,0.532793
8.161,0.316178
8.161,0.239077
8.161,1.234041
8.415,0.261106
8.415,0.202363
8.415,0.474050
8.415,0.275792
8.415,0.169320
8.415,0.316178
8.415,0.180334
8.615,0.209706
8.615,0.808152
8.615,0.771438
8.615,0.738395
8.859,0.341878
8.859,0.283135
8.859,0.261106
8.859,0.242749
9.094,0.606222
9.094,0.323521
9.094,0.753081
9.094,0.363907
9.372,2.291419
9.372,0.209706
9.372,0.158305
9.372,0.547479
9.372,0.195020
9.372,0.319849
9.372,0.870567
9.618,0.455693
9.618,0.521779
9.618,0.760423
9.618,0.184006
9.618,0.198691
9.618,2.012388
9.618,0.202363
9.825,0.503422
9.825,0.257435
9.825,0.150962
9.825,0.187677
9.825,0.158305
9.825,0.723709
10.072,1.920602
10.072,0.290478
10.072,0.297821
10.072,0.169320
10.072,0.180334
10.072,0.367578
10.346,0.411636
10.346,0.341878
10.346,0.261106
10.346,1.579157
10.579,0.407964
10.579,0.253763
10.579,0.161977
10.579,0.360235
10.579,0.246420
10.579,0.286806
10.833,0.191348
10.833,0.521779
10.833,0.198691
10.833,0.598880
10.833,0.202363
10.833,0.426321
10.833,0.404293
10.833,0.217049
11.037,0.213377
11.037,0.341878
11.037,0.639266
11.277,0.261106
11.277,0.286806
11.277,0.246420
11.277,0.150962
11.277,0.598880
11.277,0.382264
11.277,0.617237
11.561,0.382264
11.561,0.184006
11.561,1.703986
11.561,0.279463
11.561,0.723709
11.561,1.839830
11.561,0.217049
11.798,0.463036
11.798,2.001374
11.798,0.404293
11.798,0.246420
11.798,0.158305
12.049,0.283135
12.049,0.338207
12.049,0.169320
12.049,0.690666
12.049,0.977039
12.049,0.184006
12.253,0.184006
12.253,0.705352
12.253,0.195020
12.253,0.169320
12.506,0.859553
12.506,0.202363
12.506,0.301492
12.506,0.253763
12.506,0.231734
12.506,0.187677
12.793,0.690666
12.793,0.356564
12.793,1.112883
12.793,0.250092
12.793,0.231734
13.025,0.437336
13.025,0.459364
13.025,0.301492
13.025,0.158305
13.025,0.782452
13.025,0.213377
13.025,0.815495
13.025,1.692972
13.025,0.620908
13.275,0.382264
13.275,0.470379
13.275,0.150962
13.275,0.184006
13.509,0.932982
13.509,0.231734
13.509,0.866895
13.509,0.973368
13.808,0.209706
13.808,0.459364
13.808,0.206034
13.808,0.452021
13.808,0.580522
13.808,0.360235
14.051,0.184006
14.051,0.286806
14.051,0.448350
14.051,1.777415
14.051,0.389607
14.275,0.220720
14.275,0.330864
14.275,0.441007
14.275,0.228063
14.275,1.156940
14.515,0.235406
14.515,0.661294
14.515,1.968331
14.515,0.305163
14.752,0.463036
14.752,0.253763
14.752,0.261106
14.752,0.264777
14.752,0.154634
14.752,0.220720
14.752,0.191348
15.061,0.668637
15.061,0.371250
15.061,0.268449
15.061,0.657623
15.061,0.231734
15.304,0.257435
15.304,0.195020
15.304,0.294149
15.304,0.962353
15.535,0.371250
15.535,0.602551
15.535,1.579157
15.535,0.771438
15.535,0.180334
15.772,0.283135
15.772,0.198691
15.772,0.154634
15.772,0.382264
15.772,0.330864
15.772,0.217049
16.073,0.312506
16.073,0.786124
16.073,0.253763
16.073,0.679651
16.073,0.452021
16.073,0.422650
16.073,0.283135
16.073,1.446985
16.322,0.437336
16.322,0.338207
16.322,1.002739
16.322,0.305163
16.322,0.213377
16.573,0.617237
16.573,0.466707
16.573,0.176663
16.573,0.455693
16.573,0.246420
16.573,0.180334
16.573,0.253763
16.789,0.477722
16.789,0.551151
16.789,0.150962
16.789,0.172991
17.020,0.371250
17.020,0.158305
17.020,0.158305
17.020,0.224392
17.020,0.540136
17.302,0.220720
17.302,0.316178
17.302,0.250092
17.302,0.514436
17.302,1.079840
17.302,0.433664
17.548,0.389607
17.548,0.253763
17.548,0.250092
17.548,1.623214
17.548,0.217049
17.548,0.999068
17.548,0.154634
17.786,1.123897
17.786,1.333170
17.786,0.220720
17.786,0.367578
17.786,0.250092
17.786,0.268449
18.005,0.338207
18.005,0.250092
18.005,2.192289
18.005,0.235406
18.005,0.411636
18.244,1.876545
18.244,0.400621
18.244,0.833852
18.244,0.224392
18.244,0.209706
18.518,0.367578
18.518,0.242749
18.518,0.202363
18.518,0.327192
18.518,0.591537
18.518,0.279463
18.518,0.422650
18.518,1.010082
18.518,0.323521
18.768,1.549785
18.768,0.510765
18.768,0.294149
18.768,0.319849
18.768,0.198691
18.768,1.575486
18.768,0.382264
19.002,1.421285
19.002,0.565836
19.002,0.536465
19.002,0.609894
19.002,0.903610
19.218,0.239077
19.218,0.378592
19.218,0.844867
19.218,1.938959
19.218,0.268449
19.218,0.316178
19.218,0.341878
19.496,1.164283
19.496,0.242749
19.496,0.991725
19.496,0.305163
19.496,0.910953
19.726,0.217049
19.726,0.668637
19.726,0.250092
19.726,1.465342
19.973,0.297821
19.973,0.330864
19.973,0.529122
19.973,0.253763
19.973,0.184006
20.207,0.301492
20.207,1.535100
20.207,1.843502
20.207,0.367578
20.429,0.257435
20.429,0.327192
20.429,0.323521
20.429,1.098197
20.429,0.301492
20.429,0.180334
20.705,0.393278
20.705,0.587865
20.705,0.650280
20.705,0.246420
20.705,0.290478
20.938,0.257435
20.938,0.176663
20.938,0.345549
20.938,1.065154
20.938,0.235406
21.190,0.154634
21.190,0.158305
21.190,0.562165
21.190,0.418978
21.190,0.180334
21.190,0.180334
21.190,0.231734
21.190,0.198691
21.425,0.150962
21.425,0.789795
21.425,0.492407
21.644,0.433664
21.644,1.278098
21.644,0.228063
21.919,0.396950
21.919,0.341878
21.919,0.955010
21.919,0.257435
21.919,0.738395
22.152,0.184006
22.152,0.393278
22.152,0.246420
22.152,1.994031
22.152,0.334535
22.152,0.598880
22.152,0.198691
22.401,0.323521
22.401,0.334535
22.401,2.269390
22.401,0.767766
22.401,1.109211
22.401,0.705352
22.401,1.410270
22.638,0.496079
22.638,0.283135
22.638,0.474050
22.638,0.404293
22.638,0.165648
22.638,0.499750
22.897,0.202363
22.897,0.202363
22.897,1.289112
22.897,1.134911
22.897,1.413942
22.897,1.858187
23.135,0.775109
23.135,0.866895
23.135,0.283135
23.135,0.286806
23.135,0.334535
23.135,0.756752
23.135,1.347856
23.372,0.319849
23.372,0.165648
23.372,0.253763
23.372,0.176663
23.372,0.496079
23.372,0.297821
23.372,0.213377
23.372,0.349221
