elapsed_time_s,pulse_height_V
0.106,0.198691
0.106,0.429993
0.106,0.195020
0.106,0.429993
0.106,0.150962
0.319,0.169320
0.319,0.305163
0.319,0.441007
0.540,0.150962
0.540,0.158305
0.540,0.191348
0.540,0.202363
0.540,0.470379
0.800,0.228063
0.800,0.154634
0.800,0.213377
0.800,0.239077
0.800,0.158305
0.800,0.312506
1.047,0.150962
1.047,0.338207
1.047,0.158305
1.047,0.268449
1.047,0.154634
1.313,0.404293
1.313,0.202363
1.313,0.206034
1.313,0.209706
1.313,0.584194
1.313,0.206034
1.516,0.172991
1.516,0.257435
1.516,0.161977
1.756,0.172991
1.756,0.154634
1.756,0.389607
1.756,0.150962
1.756,0.165648
1.988,0.165648
1.988,0.154634
1.988,0.176663
1.988,0.198691
1.988,0.209706
1.988,0.154634
2.250,0.161977
2.250,0.224392
2.250,0.418978
2.250,0.477722
2.250,0.264777
2.506,0.257435
2.506,0.150962
2.506,0.172991
2.506,0.158305
2.506,0.345549
2.506,0.242749
2.723,0.429993
2.723,0.158305
2.723,0.195020
2.723,0.624580
2.723,0.158305
2.723,0.169320
2.723,0.169320
2.723,0.206034
2.723,0.253763
2.986,0.385935
2.986,0.327192
2.986,0.286806
2.986,0.191348
2.986,0.191348
2.986,0.481393
3.218,0.150962
3.218,0.279463
3.218,0.455693
3.218,0.389607
3.218,0.422650
3.218,0.154634
3.514,0.213377
3.514,0.312506
3.514,0.184006
3.514,0.275792
3.514,0.195020
3.514,0.239077
3.776,0.202363
3.776,0.150962
3.776,0.514436
3.776,0.154634
3.776,0.150962
3.776,0.510765
3.776,0.169320
4.027,0.279463
4.027,0.198691
4.027,0.191348
4.285,0.154634
4.285,0.463036
4.285,0.459364
4.286,0.312506
4.286,0.209706
4.286,0.499750
4.286,0.316178
4.581,0.286806
4.581,0.448350
4.581,0.158305
4.581,0.264777
4.581,0.209706
4.581,0.330864
4.581,0.382264
4.842,0.228063
4.842,0.235406
4.842,0.279463
4.842,0.198691
4.842,0.209706
4.842,0.224392
4.842,0.407964
5.095,0.349221
5.095,0.327192
5.095,1.061482
5.095,0.172991
5.095,0.418978
5.095,0.150962
5.357,0.224392
5.357,0.154634
5.357,0.209706
5.357,0.169320
5.357,0.250092
5.357,0.463036
5.610,0.305163
5.610,0.264777
5.610,0.224392
5.610,0.231734
5.610,0.184006
5.914,0.158305
5.914,0.576851
5.914,0.165648
5.914,0.426321
5.914,0.235406
5.914,0.444679
6.163,0.437336
6.163,0.158305
6.163,0.422650
6.163,0.169320
6.163,0.305163
6.163,0.150962
6.163,0.150962
6.163,0.150962
6.423,0.404293
6.423,0.161977
6.423,0.437336
6.423,0.525451
6.423,0.242749
6.423,0.389607
6.673,0.165648
6.673,0.481393
6.673,0.356564
6.673,0.345549
6.673,0.330864
6.673,0.319849
6.673,0.154634
6.970,0.330864
6.970,0.279463
6.970,0.176663
6.970,0.286806
6.970,0.459364
7.214,0.565836
7.214,0.264777
7.214,0.455693
7.214,0.161977
7.214,0.385935
7.214,0.297821
7.465,0.150962
7.465,0.543808
7.465,0.407964
7.465,0.184006
7.465,0.235406
