elapsed_time_s,pulse_height_V
0.101,0.150962
0.101,0.312506
0.335,1.726015
0.335,1.726015
0.335,0.184006
0.335,0.977039
0.335,1.457999
0.335,0.731052
0.557,0.290478
0.557,0.352892
0.557,0.323521
0.557,0.720037
0.557,0.415307
0.845,0.312506
0.845,0.191348
0.845,0.184006
0.845,0.246420
0.845,0.239077
1.045,0.327192
1.045,0.246420
1.045,0.441007
1.314,0.239077
1.314,0.819167
1.314,1.476356
1.314,2.280404
1.314,0.305163
1.314,0.444679
1.314,0.150962
1.509,0.492407
1.509,0.338207
1.509,0.235406
1.776,0.892596
1.776,0.323521
1.776,0.488736
1.776,0.268449
1.776,1.935288
1.776,0.169320
1.776,0.176663
1.776,0.275792
1.776,0.804481
2.051,0.195020
2.051,0.184006
2.051,0.231734
2.051,0.172991
2.287,0.220720
2.287,0.536465
2.287,1.101868
2.287,0.158305
2.287,0.217049
2.287,0.198691
2.545,1.355199
2.545,0.294149
2.545,0.466707
2.545,0.885253
2.545,0.642937
2.545,0.286806
2.545,0.165648
2.545,0.448350
2.749,0.602551
2.749,0.374921
2.749,0.485065
2.749,0.217049
3.052,0.323521
3.052,0.360235
3.052,0.184006
3.052,0.521779
3.284,0.452021
3.284,0.352892
3.284,1.744372
3.284,0.532793
3.284,0.466707
3.284,1.006411
3.514,0.316178
3.514,2.008717
3.514,0.294149
3.514,0.158305
3.514,0.808152
3.514,0.804481
3.768,1.065154
3.768,1.186312
3.768,0.613565
3.768,0.316178
3.768,0.283135
3.768,1.825144
3.768,0.470379
3.999,0.312506
3.999,0.448350
3.999,0.690666
3.999,1.098197
3.999,0.341878
3.999,0.206034
4.303,0.330864
4.303,0.411636
4.303,0.452021
4.303,0.235406
4.303,0.206034
4.303,0.264777
4.303,0.334535
4.535,1.858187
4.535,0.187677
4.535,0.169320
4.535,0.418978
4.535,0.206034
4.535,1.472685
4.759,0.595208
4.759,1.711329
4.759,0.297821
4.759,0.286806
4.759,0.176663
4.759,0.150962
4.759,0.231734
4.759,0.341878
4.998,0.775109
4.998,0.426321
4.998,0.176663
4.998,0.198691
4.998,0.363907
4.998,2.273061
5.230,0.363907
5.230,0.481393
5.230,0.323521
5.230,0.389607
5.230,0.360235
5.230,0.327192
5.551,1.637900
5.551,0.679651
5.551,0.209706
5.551,0.587865
5.551,0.161977
5.551,0.213377
5.551,0.169320
5.551,0.760423
5.788,0.426321
5.788,0.371250
5.788,0.363907
5.788,0.330864
5.788,0.224392
5.788,0.404293
6.015,1.377227
6.015,1.380899
6.015,1.410270
6.015,0.154634
6.015,0.429993
6.255,2.225332
6.255,0.573179
6.255,0.734723
6.255,2.027074
6.255,0.407964
6.255,0.213377
6.536,0.239077
6.536,0.206034
6.536,0.422650
6.536,0.734723
6.797,0.198691
6.797,0.283135
6.797,0.338207
6.797,0.404293
6.797,0.760423
6.797,0.253763
7.036,0.459364
7.036,0.334535
7.036,0.481393
7.036,0.529122
7.036,0.154634
7.288,0.822838
7.288,0.150962
7.288,0.628251
7.288,0.411636
7.288,1.021096
7.288,0.286806
7.532,0.217049
7.532,0.543808
7.532,0.463036
7.532,0.819167
7.828,0.540136
7.828,0.253763
7.828,0.228063
7.828,1.615872
8.079,0.154634
8.079,0.705352
8.079,0.184006
8.079,0.374921
8.079,0.180334
8.079,0.418978
8.309,1.737029
8.309,0.679651
8.309,0.272120
8.309,0.202363
8.560,1.112883
8.560,1.160612
8.560,0.657623
8.560,0.264777
8.560,0.407964
8.560,0.441007
8.560,0.485065
8.560,0.195020
8.837,0.396950
8.837,0.503422
8.837,1.615872
8.837,0.639266
8.837,0.418978
9.077,0.767766
9.077,0.407964
9.077,0.150962
9.077,0.400621
9.077,0.206034
9.077,0.360235
9.077,0.231734
9.077,0.253763
9.319,0.209706
9.319,0.407964
9.319,0.639266
9.319,0.389607
9.319,0.323521
9.319,0.396950
9.563,0.257435
9.563,0.477722
9.563,0.389607
9.563,0.246420
9.563,0.584194
9.563,0.154634
9.563,0.609894
9.805,0.224392
9.805,0.466707
9.805,0.308835
9.805,0.330864
9.805,0.198691
10.101,0.496079
10.101,1.876545
10.101,0.742066
10.101,0.172991
10.101,0.778781
10.101,0.165648
10.101,0.198691
10.350,0.279463
10.350,0.345549
10.350,0.224392
10.350,0.437336
10.350,0.187677
10.350,0.228063
10.597,0.246420
10.597,0.198691
10.597,0.198691
10.597,0.191348
10.597,0.161977
10.597,2.030746
10.841,0.334535
10.841,0.242749
10.841,0.452021
10.841,0.330864
10.841,1.762730
10.841,0.180334
11.140,0.503422
11.140,2.129875
11.140,2.008717
11.140,1.358870
11.140,0.158305
11.140,0.429993
11.140,2.005045
11.381,0.154634
11.381,0.202363
11.381,0.734723
11.381,0.187677
11.381,1.828816
11.381,0.830181
11.629,0.220720
11.629,0.334535
11.629,0.180334
11.629,0.242749
11.629,0.180334
11.629,0.239077
11.629,0.224392
11.865,0.418978
11.865,0.352892
11.865,0.444679
11.865,0.360235
11.865,0.297821
12.104,0.562165
12.104,0.172991
12.104,0.253763
12.104,0.213377
12.104,0.235406
12.401,0.176663
12.401,0.327192
12.401,0.235406
12.401,0.184006
12.401,0.411636
12.401,0.268449
12.401,0.202363
12.401,0.253763
12.646,0.657623
12.646,0.176663
12.646,0.374921
12.646,0.433664
12.895,0.727380
12.895,0.279463
12.895,1.524085
12.895,0.896267
12.895,0.158305
12.895,0.896267
12.895,2.210647
13.141,0.228063
13.141,0.441007
13.141,0.176663
13.141,0.206034
13.141,0.187677
13.141,0.444679
13.141,0.477722
13.419,0.250092
13.419,0.257435
13.419,0.305163
13.419,0.187677
13.419,0.191348
13.419,1.443313
13.419,0.525451
13.419,0.404293
13.672,0.429993
13.672,0.158305
13.672,0.903610
13.672,0.224392
13.672,0.286806
13.918,0.543808
13.918,1.054140
13.918,1.604857
13.918,0.584194
13.918,0.242749
13.918,0.474050
14.168,0.418978
14.168,0.418978
14.168,0.305163
14.168,0.161977
14.168,0.172991
14.168,0.411636
14.418,0.286806
14.418,0.371250
14.418,0.253763
14.418,0.206034
14.418,0.407964
14.418,0.775109
14.418,0.455693
14.418,0.272120
14.707,0.286806
14.707,1.645243
14.707,0.198691
14.707,0.261106
14.707,0.220720
14.707,0.176663
14.707,0.569508
14.707,1.667272
14.707,1.883887
14.958,0.294149
14.958,0.220720
14.958,0.668637
14.958,0.789795
14.958,0.228063
14.958,0.352892
15.206,0.316178
15.206,0.407964
15.206,0.723709
15.206,0.782452
15.206,0.977039
15.451,0.356564
15.451,0.161977
15.451,0.481393
15.451,0.297821
15.451,1.223026
15.451,0.253763
15.451,2.008717
15.750,0.327192
15.750,0.228063
15.750,0.907281
15.750,0.411636
15.750,0.345549
15.750,0.246420
15.750,0.176663
15.988,0.488736
15.988,0.150962
15.988,0.463036
15.988,0.169320
15.988,0.228063
15.988,0.261106
16.250,0.374921
16.250,0.532793
16.250,1.461671
16.250,0.393278
16.250,0.338207
16.250,0.363907
16.501,0.363907
16.501,0.184006
16.501,1.057811
16.501,0.349221
16.501,0.294149
16.501,0.228063
16.735,1.347856
16.735,0.286806
16.735,0.543808
16.735,0.411636
16.735,0.551151
16.735,0.275792
17.023,0.576851
17.023,0.161977
17.023,0.261106
17.023,0.319849
17.023,0.393278
17.023,0.316178
17.276,0.852210
17.276,0.312506
17.276,1.435970
17.276,0.797138
17.276,0.661294
17.524,0.224392
17.524,0.701680
17.524,1.373556
17.524,1.902245
17.524,0.547479
17.771,0.521779
17.771,0.686994
17.771,0.683323
17.771,1.670943
17.771,0.756752
18.055,0.275792
18.055,0.334535
18.055,0.569508
18.055,1.839830
18.055,0.250092
18.055,0.150962
18.055,1.178969
18.300,0.286806
18.300,0.499750
